Severity,TAPP,Row,Field,Check,Message
INFO,(cross-TAPP),,EDS Acquisition Mode,tier-divergence,"Tier assignment differs across 4 TAPPs — EPMA_TAPP_v65.csv: C=Basic,D=Read-Only; SEM_Composition_TAPP_v61.csv: C=Basic,D=Read-Only; SEM_TAPP_v62.csv: C=Basic,D=Read-Only; TEM_TAPP_v50.csv: C=Basic,D=Editable. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,EDS Detector Configuration,tier-divergence,"Tier assignment differs across 4 TAPPs — EPMA_TAPP_v65.csv: C=Advanced,D=Read-Only; SEM_Composition_TAPP_v61.csv: C=Advanced,D=Read-Only; SEM_TAPP_v62.csv: C=Advanced,D=Read-Only; TEM_TAPP_v50.csv: C=Basic,D=Read-Only. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,EDS Live Time per Point or Pixel,tier-divergence,"Tier assignment differs across 4 TAPPs — EPMA_TAPP_v65.csv: C=Basic,D=Editable; SEM_Composition_TAPP_v61.csv: C=Basic,D=Editable; SEM_TAPP_v62.csv: C=Basic,D=Editable; TEM_TAPP_v50.csv: C=Advanced,D=Editable. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,Phase Identification Method,tier-divergence,"Tier assignment differs across 2 TAPPs — Lab-XCT_TAPP_v39.csv: C=Advanced,D=Editable; TEM_TAPP_v50.csv: C=Basic,D=Read-Only. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,Beam Current,keyed-by-divergence-registered,"Keyed By differs across 5 TAPPs — EPMA_TAPP_v65.csv: sample > sampling unit; SEM_Composition_TAPP_v61.csv: sample > sampling unit; SEM_FIBSEM_TAPP_v32.csv: (none); SEM_Imaging_TAPP_v31.csv: (none); SEM_TAPP_v62.csv: sample > sampling unit. Registered as technique-dependent: per phase where composition is measured, scalar in imaging-only TAPPs"
INFO,(cross-TAPP),,Dwell Time per Pixel,keyed-by-divergence-registered,"Keyed By differs across 6 TAPPs — EPMA_TAPP_v65.csv: channel; SEM_Composition_TAPP_v61.csv: channel; SEM_FIBSEM_TAPP_v32.csv: (none); SEM_Imaging_TAPP_v31.csv: (none); SEM_TAPP_v62.csv: channel; TEM_TAPP_v50.csv: (none). Registered as technique-dependent: channel (one value per spectrometer assignment) in the three TAPPs with WDS compositional mapping; (none) wherever there is no spectrometer — the imaging-only SEM variants, and TEM, whose STEM per-pixel dwell is scalar (TEM joined this field on 2026-08-27, when `STEM Dwell Time per Pixel` was merged into it as a Rule 1 name variant)"
INFO,(cross-TAPP),,Monitored Masses,keyed-by-divergence-registered,Keyed By differs across 8 TAPPs — LA-MC-ICPMS_TAPP_v72.csv: target species; LA-MC-ICPMS_UPb_TAPP_v71.csv: target species; LA-Q-ICP-MS_TAPP_v74.csv: defines: channel per target species; LA-Q-ICP-MS_UPb_TAPP_v74.csv: defines: channel per target species; LA-SF-ICP-MS_TAPP_v71.csv: defines: channel per target species; LA-SF-ICP-MS_UPb_TAPP_v72.csv: defines: channel per target species; Solution_Q-ICP-MS_TAPP_v77.csv: defines: channel per target species; Solution_SF-ICP-MS_TAPP_v73.csv: defines: channel per target species. Registered as technique-dependent: defines: channel per target species where there is no collector array; target species where the cup array defines the channel
INFO,(cross-TAPP),,EELS Detection Limit,keyed-by-name-variant-registered,"Name variant with divergent keys — 'EELS Detection Limit' = ['channel']; 'Detection Limit' = ['reported property']. Registered: different fields, and the split that made them so landed 2026-08-26. `EELS Sensitivity and Detection Limit` bundled a specification (ZLP energy resolution) with a result (detection limit), which is why no single Data Type fitted it. On splitting, the specification half turned out to need no new field at all — `EELS Energy Resolution` already carries it, `Numeric (eV FWHM)`, and the bundled ZLP half was never once filled in the literature assessment. So the field was renamed to `EELS Detection Limit`, the duplicated half dropped, and the result half typed `Numeric + unit / Text` like its `Detection Limit` sibling. The keys still differ and that is correct: an EELS edge is a `channel`, enumerated by `EELS Edges`, while `Detection Limit` is one per reported concentration variable."
INFO,(cross-TAPP),,Calibration Strategy per Target Species,keyed-by-name-variant-registered,"Name variant with divergent keys — 'Calibration Strategy per Target Species' = ['target species']; 'Target Species' = ['defines: target species']. Registered: registered 2026-09-01 when `Analyte` became `Target Species`. The suffix test needs TWO words, so these pairs were invisible while the base field was the one-word `Analyte` — the rename activated a dormant check rather than creating a defect. The base field is the DEFINER (`defines: target species`); this one is a CONSUMER (`target species`), one calibration strategy per species. Definer and consumer of the same domain must differ in Column I — that is Rule 7.4a working, not a divergence."
INFO,(cross-TAPP),,EPMA Technique per Target Species,keyed-by-name-variant-registered,"Name variant with divergent keys — 'EPMA Technique per Target Species' = ['target species']; 'Target Species' = ['defines: target species']. Registered: registered 2026-09-01 when `Analyte` became `Target Species`. The suffix test needs TWO words, so these pairs were invisible while the base field was the one-word `Analyte` — the rename activated a dormant check rather than creating a defect. As above: definer versus consumer of the same domain."
INFO,(cross-TAPP),,Technique per Target Species,keyed-by-name-variant-registered,"Name variant with divergent keys — 'Technique per Target Species' = ['target species']; 'Target Species' = ['defines: target species']. Registered: registered 2026-09-01 when `Analyte` became `Target Species`. The suffix test needs TWO words, so these pairs were invisible while the base field was the one-word `Analyte` — the rename activated a dormant check rather than creating a defect. As above: definer versus consumer of the same domain."
INFO,(cross-TAPP),,Accelerating Voltage,colb-divergence-principled,Description differs across 7 TAPPs in 3 variants (similarity 0.00) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Beam Current,colb-divergence-principled,Description differs across 5 TAPPs in 2 variants (similarity 0.30) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Beam Damage Minimization,colb-divergence-principled,Description differs across 3 TAPPs in 2 variants (similarity 0.02) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Beam Diameter,colb-divergence-principled,Description differs across 3 TAPPs in 2 variants (similarity 0.10) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Detector Configuration,colb-divergence-principled,Description differs across 8 TAPPs in 3 variants (similarity 0.32) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Doubly-Charged Species Monitor,colb-divergence-principled,Description differs across 8 TAPPs in 2 variants (similarity 0.52) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Drift Correction,colb-divergence-principled,Description differs across 3 TAPPs in 2 variants (similarity 0.26) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Dwell Time per Pixel,colb-divergence-principled,Description differs across 6 TAPPs in 4 variants (similarity 0.09) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,EDS Dead Time,colb-divergence-principled,Description differs across 4 TAPPs in 2 variants (similarity 0.76) — triaged 2026-08-12 as PRINCIPLED.
