Severity,TAPP,Row,Field,Check,Message
WARN,EPMA_TAPP_v9.csv,12,Analyst,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,13,Analysis Start Date,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,14,Analysis End Date,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,16,Coupled Technique(s),controlled-list-options,Controlled list is missing required option(s) ['N/A'] in column F.
WARN,EPMA_TAPP_v9.csv,17,Coupling Description,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,19,Coupled Dataset or Publication Reference,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,24,Sample Name,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,25,Sample Persistent Identifier,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,30,Instrument Manufacturer,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,31,Instrument Model,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,32,Electron Source,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,34,Data Reduction Software,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,4,Technique,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,43,Beam Diameter,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,44,Beam Raster Dimensions,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,45,Beam Damage Minimization,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,46,Drift Correction,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,6,Laboratory,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,61,Step Size / Pixel Size,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,64,Stage Scan vs. Beam Scan,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,67,Matrix Correction Method,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,7,Laboratory ID,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,72,Halogen Correction on Oxygen,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,LA-ICPMS_TAPP_v13.csv,21,2. Samples,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
