Severity,TAPP,Row,Field,Check,Message
WARN,(cross-TAPP),,Blank / Background Correction Method,name-variant,Same field spelled 2 ways — LA-ICPMS_TAPP_v13.csv: 'Blank / Background Correction Method'; LA-Q:SF-ICPMS_TAPP_v5.csv: 'Blank / Background Correction Method'; Solution_MC-ICP-MS_TAPP_v5.csv: 'Blank/Background Correction Method'; Solution_Q-ICP-MS_TAPP_v7.csv: 'Blank/Background Correction Method'; Solution_SF-ICP-MS_TAPP_v7.csv: 'Blank/Background Correction Method'. Rule 1 requires identical names across TAPPs.
WARN,(cross-TAPP),,Normalization / Standards-Based Correction,name-variant,Same field spelled 2 ways — EPMA_TAPP_v9.csv: 'Normalization / Standards-Based Correction'; LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv: 'Normalization/Standards-Based Correction'; LA-ICPMS_Geochron_TAPP_v2.csv: 'Normalization/Standards-Based Correction'; LA-ICPMS_TAPP_v13.csv: 'Normalization / Standards-Based Correction'; LA-Q:SF-ICPMS_TAPP_v5.csv: 'Normalization / Standards-Based Correction'; SEM_Composition_TAPP_v6.csv: 'Normalization / Standards-Based Correction'; SEM_TAPP_v6.csv: 'Normalization / Standards-Based Correction'; Solution_MC-ICP-MS_TAPP_v5.csv: 'Normalization/Standards-Based Correction'; Solution_Q-ICP-MS_TAPP_v7.csv: 'Normalization/Standards-Based Correction'; Solution_SF-ICP-MS_TAPP_v7.csv: 'Normalization/Standards-Based Correction'. Rule 1 requires identical names across TAPPs.
WARN,(cross-TAPP),,Spike / Outlier Filtering Approach,name-variant,Same field spelled 2 ways — LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv: 'Spike / Outlier Filtering Approach'; LA-ICPMS_Geochron_TAPP_v2.csv: 'Spike / Outlier Filtering Approach'; LA-ICPMS_TAPP_v13.csv: 'Spike / Outlier Filtering Approach'; LA-Q:SF-ICPMS_TAPP_v5.csv: 'Spike / Outlier Filtering Approach'; Solution_MC-ICP-MS_TAPP_v5.csv: 'Spike/Outlier Filtering Approach'; Solution_Q-ICP-MS_TAPP_v7.csv: 'Spike/Outlier Filtering Approach'; Solution_SF-ICP-MS_TAPP_v7.csv: 'Spike/Outlier Filtering Approach'. Rule 1 requires identical names across TAPPs.
WARN,EPMA_TAPP_v9.csv,12,Analyst,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,13,Analysis Start Date,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,14,Analysis End Date,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,17,Coupling Description,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,19,Coupled Dataset or Publication Reference,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,24,Sample Name,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,25,Sample Persistent Identifier,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,28,Instrument Manufacturer,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,29,Instrument Model,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,30,Electron Source,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,32,Data Reduction Software,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,4,Technique,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,41,Beam Diameter,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,42,Beam Raster Dimensions,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,43,Beam Damage Minimization,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,44,Drift Correction,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,59,Step Size / Pixel Size,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,6,Laboratory,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,62,Stage Scan vs. Beam Scan,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,65,Matrix Correction Method,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,7,Laboratory ID,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,EPMA_TAPP_v9.csv,70,Halogen Correction on Oxygen,date-format,Last Update '5/11/26' is not YYYY-MM-DD.
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,,,group1-order,Group 1 field order differs from the template.
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,101,5. Data Processing,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,104,Mass Bias Correction Strategy,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None', 'Other: specify'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,106,Mass Fractionation Law,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None', 'Other: specify'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,108,Age/Model-Age Calculation Method,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,111,Per-Analyte Calibration Strategy,controlled-list-options,Controlled list is missing required option(s) ['None'] in column F.
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,116,Isobaric Interference Corrections Applied,name-element-specific,Column B uses 'Element-Specific'; the correct term is 'Analyte-Specific'.
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,124,Normalization/Standards-Based Correction,rule5,Rule 5: 'Constants and Reference Values Used' must be the LAST field in Group 5; found 'Normalization/Standards-Based Correction'.
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,126,6. Quality Control & Uncertainty,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,135,Limit of Quantification (LOQ) Method,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,16,Coupled Technique(s),group1-datatype,Data Type differs from template: 'Controlled list / Text' vs 'Text (free)'.
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,19,Coupled Dataset or Publication Reference,group1-datatype,Data Type differs from template: 'URI / DOI / Text' vs 'URI / DOI'.
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,2,1. Procedure Identification,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,21,2. Samples,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,29,3. Instrument & Software,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,33,ICP-MS Type,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,42,Guard Electrode,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None', 'Other: specify'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,44,Collision/Reaction Cell (CRC) Configuration,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,5,Technique,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,51,4. Measurement Information,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,53,Laser Spot Path / Ablation Mode,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,63,RF Power (W),name-unit-in-name,"Field name embeds a unit '(W)'. Units belong in Column E (Data Type), e.g. 'Numeric (W)'."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,67,Plasma Thermal Mode,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,77,IC Dead Time (ns),name-unit-in-name,"Field name embeds a unit '(ns)'. Units belong in Column E (Data Type), e.g. 'Numeric (W)'."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,90,Signal Collection Mode,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,91,Collision Gas Type,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,94,Reaction Gas Type,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_Horstwood_TAPP_v8.csv,98,Triple Scanning Mode,controlled-list-options,"Controlled list is missing required option(s) ['None', 'Other: specify'] in column F."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,,,group1-order,Group 1 field order differs from the template.
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,101,5. Data Processing,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,104,Mass Bias Correction Strategy,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None', 'Other: specify'] in column F."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,106,Mass Fractionation Law,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None', 'Other: specify'] in column F."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,108,Age/Model-Age Calculation Method,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,111,Per-Analyte Calibration Strategy,controlled-list-options,Controlled list is missing required option(s) ['None'] in column F.
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,116,Isobaric Interference Corrections Applied,name-element-specific,Column B uses 'Element-Specific'; the correct term is 'Analyte-Specific'.
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,124,Normalization/Standards-Based Correction,rule5,Rule 5: 'Constants and Reference Values Used' must be the LAST field in Group 5; found 'Normalization/Standards-Based Correction'.
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,126,6. Quality Control & Uncertainty,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,135,Limit of Quantification (LOQ) Method,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,16,Coupled Technique(s),group1-datatype,Data Type differs from template: 'Controlled list / Text' vs 'Text (free)'.
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,19,Coupled Dataset or Publication Reference,group1-datatype,Data Type differs from template: 'URI / DOI / Text' vs 'URI / DOI'.
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,2,1. Procedure Identification,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,21,2. Samples,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,29,3. Instrument & Software,sentinel-group-header,"Group header should have N in the sentinel column, found 'empty'."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,33,ICP-MS Type,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,42,Guard Electrode,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None', 'Other: specify'] in column F."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,44,Collision/Reaction Cell (CRC) Configuration,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
WARN,LA-ICPMS_Geochron_TAPP_v2.csv,5,Technique,controlled-list-options,"Controlled list is missing required option(s) ['N/A', 'None'] in column F."
